Federal Provider Number,Provider Name,Provider Address,Provider City,Provider State,Provider Zip Code,Provider Phone Number,Provider SSA County Code,Provider County Name,Ownership Type,Number of Certified Beds,Average Number of Residents Per Day,Provider Type,Provider Resides in Hospital,Legal Business Name,Date First Approved to Provide Medicare and Medicaid services,Continuing Care Retirement Community,Special Focus Facility,Most Recent Health Inspection More Than 2 Years Ago,Provider Changed Ownership in Last 12 Months,With a Resident and Family Council,Automatic Sprinkler Systems in All Required Areas,Overall Rating,Overall Rating Footnote,Health Inspection Rating,Health Inspection Rating Footnote,QM Rating,QM Rating Footnote,Long-Stay QM Rating,Long-Stay QM Rating Footnote,Short-Stay QM Rating,Short-Stay QM Rating Footnote,Staffing Rating,Staffing Rating Footnote,RN Staffing Rating,RN Staffing Rating Footnote,Reported Staffing Footnote,Physical Therapist Staffing Footnote,Reported Nurse Aide Staffing Hours per Resident per Day,Reported LPN Staffing Hours per Resident per Day,Reported RN Staffing Hours per Resident per Day,Reported Licensed Staffing Hours per Resident per Day,Reported Total Nurse Staffing Hours per Resident per Day,Reported Physical Therapist Staffing Hours per Resident Per Day,Case-Mix Nurse Aide Staffing Hours per Resident per Day,Case-Mix LPN Staffing Hours per Resident per Day,Case-Mix RN Staffing Hours per Resident per Day,Case-Mix Total Nurse Staffing Hours per Resident per Day,Adjusted Nurse Aide Staffing Hours per Resident per Day,Adjusted LPN Staffing Hours per Resident per Day,Adjusted RN Staffing Hours per Resident per Day,Adjusted Total Nurse Staffing Hours per Resident per Day,Rating Cycle 1 Standard Survey Health Date,Rating Cycle 1 Total Number of Health Deficiencies,Rating Cycle 1 Number of Standard Health Deficiencies,Rating Cycle 1 Number of Complaint Health Deficiencies,Rating Cycle 1 Health Deficiency Score,Rating Cycle 1 Number of Health Revisits,Rating Cycle 1 Health Revisit Score,Rating Cycle 1 Total Health Score,Rating Cycle 2 Standard Health Survey Date,Rating Cycle 2 Total Number of Health Deficiencies,Rating Cycle 2 Number of Standard Health Deficiencies,Rating Cycle 2 Number of Complaint Health Deficiencies,Rating Cycle 2 Health Deficiency Score,Rating Cycle 2 Number of Health Revisits,Rating Cycle 2 Health Revisit Score,Rating Cycle 2 Total Health Score,Rating Cycle 3 Standard Health Survey Date,Rating Cycle 3 Total Number of Health Deficiencies,Rating Cycle 3 Number of Standard Health Deficiencies,Rating Cycle 3 Number of Complaint Health Deficiencies,Rating Cycle 3 Number of Health Revisits,Rating Cycle 3 Health Deficiency Score,Rating Cycle 3 Health Revisit Score,Rating Cycle 3 Total Health Score,Total Weighted Health Survey Score,Number of Facility Reported Incidents,Number of Substantiated Complaints,Number of Fines,Total Amount of Fines in Dollars,Number of Payment Denials,Total Number of Penalties,Location,Processing Date,RPT_REC_NUM,inpatient_days,rn_hours,rn_hr_per_day,lpn_hours,lpn_hr_day,asst_hours,asst_hr_per_day,NPI_rn,total_hours_per_day,tot_hours,CMS_RN_rank,CMS_LPN_rank,CMS_aide_rank,CMS_tot_rank,CMS_RN_rankpct,CMS_LPN_rankpct,CMS_aide_rankpct,CMS_tot_rankpct,Latlong,lat,long,Percent with fall,Percent restrained,Percent_antianxiety,Percent_antipsychotic,Percent with psych meds,Fall_Rank,Restrained_rank,Psych_meds_rank
315161,FRIENDS VILLAGE AT WOODSTOWN,ONE FRIENDS DRIVE,WOODSTOWN,NJ,8098,8567691500,340,Salem,Non profit - Corporation,60,43.3,Medicare and Medicaid,False,"FRIENDS HOME AT WOODSTOWN, INC.",05/01/1976,True,False,False,False,Resident,Yes,3.0,,2.0,,4.0,,4.0,,3.0,,5.0,,5.0,,,,2.61713,1.60411,1.17052,2.77463,5.39176,0.27566,2.05307,0.78751,0.39362,3.2342,2.65381,1.52859,1.1141,5.34629,07/27/2018,5.0,5.0,0.0,20.0,1.0,0.0,20.0,05/18/2017,9,9,0.0,40.0,1.0,0.0,40.0,2016-08-05,6,6,0,28,1,0,28,28.0,0,0,0,0.0,0,0,"ONE FRIENDS DRIVE WOODSTOWN, NJ 08098",06/01/2019,1210952,15741.0,10862.0,0.690045105139,30784.0,1.95565720094,58051.0,3.68788514072,315161,6.33358744679,99697.0,184.0,8.0,19.0,17.0,0.541176470588,0.0235294117647,0.0558823529412,0.05,0,,,2.15054,0.0,33.734941,4.444444,38.179385,161.0,140.0,290.0
315179,AUTUMN LAKE HEALTHCARE AT OCEANVIEW,2721 ROUTE 9,OCEAN VIEW,NJ,8230,6096243881,180,Cape May,For profit - Partnership,120,101.1,Medicare and Medicaid,False,OCEAN VIEW ASSOCIATES OPERATION LLC,04/01/1981,False,False,False,False,Resident,Yes,3.0,,3.0,,4.0,,5.0,,4.0,,3.0,,1.0,,,,2.71599,1.54215,0.26981,1.81196,4.52796,0.07289,2.00606,0.70246,0.35561,3.06414,2.81861,1.64746,0.28425,4.73897,11/29/2018,4.0,4.0,0.0,20.0,0.0,0.0,20.0,10/17/2017,2,2,0.0,8.0,1.0,0.0,8.0,2016-10-28,4,4,0,16,1,0,16,15.333,0,0,0,0.0,0,0,"2721 ROUTE OCEAN VIEW, NJ 08230",06/01/2019,1200295,37769.0,18892.0,0.500198575551,49892.0,1.32097752125,95782.0,2.53599512828,315179,4.35717122508,164566.0,242.0,31.0,99.0,97.0,0.711764705882,0.0911764705882,0.291176470588,0.285294117647,0,,,3.488373,0.0,22.082018,8.064515,30.146533,273.0,140.0,218.0
315182,BRIDGEWAY CARE AND REHAB CENTER AT BRIDGEWATER,270 ROUTE 28,BRIDGEWATER,NJ,8807,9087227022,350,Somerset,For profit - Corporation,151,139.8,Medicare and Medicaid,False,BRIDGEWAY INC.,07/06/1981,False,False,False,False,Both,Yes,5.0,,4.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,2.70752,0.5208,0.92904,1.44984,4.15735,0.11327,2.08739,0.67746,0.30726,3.07212,2.70033,0.57689,1.13277,4.33979,06/05/2018,1.0,1.0,0.0,4.0,1.0,0.0,4.0,03/09/2017,3,3,0.0,16.0,1.0,0.0,16.0,2016-03-17,3,3,0,12,1,0,12,9.333,0,0,0,0.0,0,0,"270 ROUTE BRIDGEWATER, NJ 08807",06/01/2019,,,,,,,,,,,,,,,,,,,,0,,,1.057086,0.0,14.761904,8.515282,23.277186,70.0,140.0,135.0
315185,"COMPLETE CARE AT LINWOOD, LLC",201 NEW ROAD AND CENTRAL AVE,LINWOOD,NJ,8221,6099276131,0,Atlantic,For profit - Corporation,174,124.9,Medicare and Medicaid,False,COMPLETE CARE AT LINWOOD LLC,01/01/1982,False,False,False,False,Resident,Yes,1.0,,1.0,,2.0,,2.0,,3.0,,3.0,,2.0,,,,2.08796,1.6652,0.5086,2.1738,4.26175,0.0972,1.9744,0.75725,0.57189,3.30354,2.20159,1.65022,0.33318,4.13712,05/30/2018,15.0,15.0,0.0,92.0,1.0,0.0,92.0,06/23/2017,7,6,1.0,36.0,1.0,0.0,36.0,2016-08-04,9,7,3,52,1,0,52,66.667,0,9,1,5525.0,0,1,"201 NEW ROAD AND CENTRAL AVE LINWOOD, NJ 08221",06/01/2019,1195962,48637.0,44130.11,0.907336184386,72625.18,1.49320846269,97841.13,2.01166046426,315185,4.41220511133,214596.42,118.0,20.0,282.0,86.0,0.347058823529,0.0588235294118,0.829411764706,0.252941176471,0,,,1.643193,0.938967,40.750669,12.020459,52.771128,113.0,322.0,336.0
315193,OCEANA REHABILITATION AND NC,502 ROUTE 9 NORTH,CAPE MAY COURT HOUSE,NJ,8210,6094657633,180,Cape May,For profit - Partnership,116,112.6,Medicare and Medicaid,False,OCEANA REHAB & NURSING LLC,07/13/1982,False,False,False,False,Resident,Yes,1.0,,2.0,,2.0,,3.0,,1.0,,1.0,,1.0,,,,1.18366,0.81659,0.16239,0.97898,2.16264,0.04616,1.60547,0.63046,0.30489,2.54082,1.53489,0.97198,0.19954,2.72961,07/17/2018,2.0,2.0,0.0,8.0,1.0,0.0,8.0,05/12/2017,5,5,0.0,40.0,1.0,0.0,40.0,2016-03-31,12,6,6,92,1,0,92,32.667,0,6,1,10060.0,0,1,"502 ROUTE CAPE MAY COURT HOUSE, NJ 08210",06/01/2019,1194728,38778.0,9627.06,0.248260869565,33878.24,0.873645881685,68207.76,1.7589292898,315193,2.88083604105,111713.06,324.0,181.0,327.0,328.0,0.952941176471,0.532352941176,0.961764705882,0.964705882353,0,,,2.272726,0.505051,32.405064,15.238096,47.64316,174.0,304.0,324.0
315205,MAJESTIC CENTER FOR REHAB & SUB-ACUTE CARE,TWO COOPER PLAZA,CAMDEN,NJ,8103,8563427600,160,Camden,For profit - Partnership,120,78.2,Medicare and Medicaid,False,COOPER OPERATING LLC,07/10/1984,False,False,False,False,Resident,Yes,4.0,,3.0,,5.0,,5.0,,5.0,,2.0,,1.0,,,,2.23235,1.21616,0.28849,1.50466,3.73701,0.1364,1.77253,0.72414,0.35663,2.85329,2.62192,1.26033,0.30307,4.20017,06/04/2018,2.0,2.0,0.0,12.0,1.0,0.0,12.0,04/07/2017,4,4,0.0,20.0,1.0,0.0,20.0,2016-06-17,8,8,0,52,1,0,52,21.333,0,0,0,0.0,0,0,"TWO COOPER PLAZA CAMDEN, NJ 08103",06/01/2019,1202220,36938.0,9066.0,0.24543830202,43587.0,1.18000433158,68758.0,1.86144349992,315205,3.28688613352,121411.0,327.0,56.0,319.0,290.0,0.961764705882,0.164705882353,0.938235294118,0.852941176471,0,,,0.0,0.0,12.757199,8.530805,21.288004,14.0,140.0,112.0
315206,MANAHAWKIN CONV CTR,1211 RT 72 WEST,MANAHAWKIN,NJ,8050,6095978500,310,Ocean,For profit - Individual,120,85.4,Medicare and Medicaid,False,MR OF MANAHAWKIN LLC,06/06/1984,False,False,False,False,Resident,Yes,1.0,,1.0,,4.0,,5.0,,1.0,,2.0,,2.0,,,,1.47398,0.89917,0.32222,1.22139,2.69537,0.0634,1.51337,0.58157,0.25594,2.35088,2.02767,1.16026,0.47166,3.67687,08/16/2018,6.0,4.0,2.0,44.0,1.0,0.0,44.0,06/30/2017,4,4,4.0,28.0,1.0,0.0,28.0,2016-07-11,10,7,3,127,1,0,127,52.5,0,14,2,23951.0,0,2,"1211 RT MANAHAWKIN, NJ 08050",06/01/2019,1196309,34006.0,8193.0,0.240928071517,31231.0,0.918396753514,57934.0,1.70364053402,315206,2.86296535905,97358.0,330.0,160.0,329.0,329.0,0.970588235294,0.470588235294,0.967647058824,0.967647058824,0,,,0.923078,1.23077,18.80878,2.597403,21.406183,58.0,327.0,116.0
315256,LEISURE PARK HEALTH CENTER,1400 ROUTE 70,LAKEWOOD,NJ,8701,7323700444,310,Ocean,For profit - Corporation,60,53.4,Medicare and Medicaid,False,FS LEISURE PARK TENANT TRUST,02/02/1988,True,False,False,False,Resident,Yes,3.0,,4.0,,4.0,,3.0,,5.0,,1.0,12.0,1.0,12.0,,,1.48998,1.31361,0.40196,1.71557,3.20555,0.1518,2.07156,0.72112,0.32641,3.11909,1.49738,1.367,0.46137,3.29582,11/02/2018,1.0,1.0,0.0,8.0,1.0,0.0,8.0,11/22/2017,2,2,0.0,20.0,1.0,0.0,20.0,2016-10-24,1,1,0,4,1,0,4,11.333,0,0,0,0.0,0,0,"1400 ROUTE LAKEWOOD, NJ 08701",06/01/2019,1202717,18341.0,8681.0,0.473311160787,22804.0,1.24333460553,34161.0,1.86254838886,315256,3.57919415517,65646.0,252.0,42.0,318.0,253.0,0.741176470588,0.123529411765,0.935294117647,0.744117647059,0,,,4.216864,0.0,22.068965,11.392405,33.46137,311.0,140.0,254.0
315259,MANOR CARE MOUNTAINSIDE,1180 ROUTE 22 WEST,MOUNTAINSIDE,NJ,7092,9086540020,370,Union,For profit - Corporation,151,121.9,Medicare and Medicaid,False,MANOR CARE OF MOUNTAINSIDE NJ LLC,05/19/1988,False,False,False,False,Resident,Yes,4.0,,2.0,,5.0,,5.0,,5.0,,4.0,,4.0,,,,1.89015,1.04865,0.64108,1.68973,3.57989,0.09185,2.09822,0.70839,0.32637,3.13298,1.87541,1.11089,0.73591,3.66439,04/12/2018,1.0,1.0,0.0,0.0,1.0,0.0,0.0,02/23/2017,5,5,0.0,32.0,1.0,0.0,32.0,2016-03-04,11,11,0,64,1,0,64,21.333,0,0,1,5000.0,0,1,"1180 ROUTE MOUNTAINSIDE, NJ 07092",06/01/2019,1192445,46197.0,27641.0,0.598328895816,59129.0,1.27993159729,111851.0,2.42117453514,315259,4.29943502825,198621.0,209.0,37.0,130.0,109.0,0.614705882353,0.108823529412,0.382352941176,0.320588235294,0,,,1.485151,0.0,16.753929,9.57447,26.328399,98.0,140.0,174.0
315266,PARK CRESCENT HEALTHCARE & REHABILITATION CENTER,480 PARKWAY DRIVE,EAST ORANGE,NJ,7017,9736742700,200,Essex,For profit - Corporation,190,173.8,Medicare and Medicaid,False,"PARKWAY MANOR HEALTH CENTER, LLC",09/21/1988,False,False,False,False,Resident,Yes,4.0,,3.0,,5.0,,5.0,,5.0,,3.0,,3.0,,,,2.14787,0.74894,0.6124,1.36134,3.50921,0.0746,2.11279,0.72371,0.34027,3.17677,2.11642,0.7766,0.67427,3.54253,09/07/2018,3.0,3.0,0.0,16.0,0.0,0.0,16.0,07/14/2017,5,5,0.0,28.0,1.0,0.0,28.0,2016-06-29,5,5,0,20,1,0,20,20.667,0,0,0,0.0,0,0,"480 PARKWAY DRIVE EAST ORANGE, NJ 07017",06/01/2019,1192446,60270.0,27070.5,0.449153807865,57157.5,0.948357391737,158659.75,2.6324829932,315266,4.0299941928,242887.75,267.0,144.0,82.0,155.0,0.785294117647,0.423529411765,0.241176470588,0.455882352941,0,,,0.681432,0.0,4.982817,3.100774,8.083591,46.0,140.0,7.0
